Date,AAPL,ADBE,AMZN,BAC,BRK-B,CMCSA,DIS,GOOGL,HD,INTC,JNJ,JPM,MA,MSFT,NVDA,PG,UNH,V,VZ,XOM
2010-03-16,6.745662212371826,35.02000045776367,6.5894999504089355,13.437828063964844,82.30000305175781,6.331125736236572,29.03851890563965,14.07684326171875,22.79922866821289,14.365077018737793,41.19137191772461,29.091575622558594,23.00311279296875,22.12948989868164,0.4071483612060547,40.77676010131836,26.30577278137207,20.535310745239258,12.967708587646484,37.3719367980957
2010-03-17,6.735744953155518,35.4900016784668,6.566999912261963,13.627205848693848,82.5,6.363704681396484,29.03851890563965,14.085809707641602,22.778223037719727,14.515193939208984,41.26799392700195,29.46160316467285,22.939455032348633,22.325401306152344,0.4149428606033325,41.08484649658203,26.066991806030273,20.503942489624023,13.06302547454834,37.815433502197266
2010-03-18,6.75167179107666,35.75,6.638000011444092,13.477282524108887,82.3499984741211,6.396280765533447,29.064329147338867,14.106730461120605,22.69416618347168,14.48908805847168,41.52970886230469,29.360685348510742,22.7226619720459,22.310321807861328,0.40027090907096863,40.905128479003906,26.73558235168457,20.194732666015625,13.128015518188477,37.832279205322266
2010-03-19,6.6795430183410645,34.66999816894531,6.517499923706055,13.272123336791992,82.05999755859375,6.345603942871094,28.94386863708496,13.947332382202148,22.66614532470703,14.352029800415039,41.561614990234375,29.232851028442383,22.543678283691406,22.295269012451172,0.3954566419124603,40.97574234008789,27.372337341308594,19.90569305419922,13.175670623779297,37.63579559326172
2010-03-22,6.754679203033447,34.95000076293945,6.523499965667725,13.382593154907227,82.37000274658203,6.436102867126465,29.210599899291992,13.885066986083984,22.88327980041504,14.515193939208984,41.55523681640625,29.42797088623047,22.79461097717285,22.302791595458984,0.40187564492225647,41.00141143798828,26.5047550201416,19.995317459106445,13.279656410217285,37.596500396728516
2010-03-23,6.863175868988037,35.220001220703125,6.4629998207092285,13.516733169555664,82.33000183105469,6.548316955566406,29.262224197387695,13.673367500305176,22.827247619628906,14.795829772949219,41.72119140625,29.993118286132812,22.65715789794922,22.513757705688477,0.410128653049469,41.418617248535156,26.39332389831543,20.161123275756836,13.422636985778809,37.58526611328125
2010-03-24,6.893528938293457,36.5099983215332,6.4019999504089355,13.863923072814941,81.44000244140625,6.580892562866211,29.589176177978516,13.88083267211914,22.638124465942383,14.63919734954834,41.33181381225586,30.23531150817871,22.573205947875977,22.340471267700195,0.39637359976768494,40.82809829711914,26.04311180114746,19.88553237915039,13.197341918945312,37.33264923095703
2010-03-25,6.8117804527282715,35.869998931884766,6.736499786376953,13.99806022644043,81.69999694824219,6.67501163482666,30.191452026367188,14.019061088562012,22.8482608795166,14.586983680725098,41.21691131591797,30.23531150817871,22.703279495239258,22.611719131469727,0.3975198566913605,40.834529876708984,26.361482620239258,20.257478713989258,13.13234806060791,37.22036361694336
2010-03-26,6.93951416015625,35.5099983215332,6.752999782562256,14.124313354492188,81.30000305175781,6.6388139724731445,30.380739212036133,14.01432991027832,22.939311981201172,14.515193939208984,41.09564971923828,30.28913116455078,22.717121124267578,22.348005294799805,0.3975198566913605,40.87946701049805,25.971479415893555,20.221622467041016,13.158344268798828,37.3551025390625
2010-03-29,6.9842939376831055,35.7400016784668,6.75600004196167,14.234784126281738,81.75,6.69672966003418,30.251680374145508,14.00835132598877,22.834251403808594,14.573929786682129,41.37651062011719,30.18148422241211,22.880420684814453,22.295269012451172,0.4025633633136749,40.905128479003906,26.138626098632812,20.219385147094727,13.193004608154297,37.781761169433594
